REPOSITORY ID,REPOSITORY LINK,SAMPLE NUMBER,STUDY TITLE,STUDY LINK,ASSAY TYPE,TECHNOLOGY,COUNTRY,DISEASE,DOID,STUDY DESIGN,BODY SITE,PLATFORM,PARTICIPANT FEATURES,AVERAGE SPOTLENGTH,RUN ID,Sample ID,Sample Name,COLLECTION DATE,LIBRARY LAYOUT,LAT LON,SAMPLE TYPE,ETHNICITY,URBANZATION,REGION,,TARGET AMPLICON,DIET
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442541,SAMN17320880,100,23-05-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,400,SRR13442542,SAMN17320879,99,09-07-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442543,SAMN17320878,98,14-05-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,400,SRR13442544,SAMN17320877,97,02-05-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442545,SAMN17320876,96,17-04-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,400,SRR13442546,SAMN17320875,95,13-04-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442547,SAMN17320874,94,05-04-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442548,SAMN17320873,93,11-03-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442549,SAMN17320872,92,10-03-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442550,SAMN17320871,91,05-03-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,400,SRR13442551,SAMN17320790,10,12-02-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442552,SAMN17320870,90,04-03-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442553,SAMN17320869,89,27-02-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442554,SAMN17320868,88,21-02-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442555,SAMN17320867,87,20-02-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442556,SAMN17320866,86,19-02-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442557,SAMN17320865,85,13-02-2019,paired,,stool,,urban,Cape Town,,v4,
