REPOSITORY ID,DISCRIPTION
PRJNA388365,"ADULTS AGED 31 YEARS OLD IN AVERAGE WITH CARIOUS LESIONS, NECROTIC PULPS, AND RADIOGRAPHIC EVIDENCE OF APICAL PERIRADICULAR DISEASE"
PRJNA450838,CHILDREN UNDER 3 YEARS OLD EXPOSED TO FECAL CONTAMINATION
PRJNA529400,
PRJNA353874,
PRJNA473351,HIV SERONEGATIVE WOMEN WERE AGED FROM 18 TO 44
PRJNA213674,PARTICIPANTS AGED FROM 20 TO 40 YEARS OLD
PRJNA395034,PARTICIPANTS AVERAGE AGED 28, 39.5, 44, 44.5, 47.2, 48, and 49.8 YEARS OLD IN DIFFERENT GROUPS 
MGP83994,PARTICPANTS AGED FROM 3  AND 75 YEARS OLD
PRJNA415207,CHILDREN AGED FROM 0 TO 5 YEAR-OLD CHILDREN
PRJNA529124,
PRJNA173810,PARTICPANTS AGED FROM 20 TO 40 YEARS OLD
PRJNA247490,CHILDREN AGED IN AVERAGE 8 YEARS OLD
PRJNA343480,PATIENTS AGED FROM 18 TO 35 YEARS OLD
PRJNA278393,PARTICIPANTS AGED FROM 8 AND 70 YEARS OLD
PRJNA413356,PARTICIPANTS AGED FROM 19 AND 23 YEARS OLD WITH WITH PULMONARY TB (WITH OR WITHOUT H. PYLORI INFECTION) AND 46 HEALTHY VOLUNTEERS (WITH OR WITHOUT H. PYLORI INFECTION)
PRJNA353065,STANDARDISED QUESTIONNAIRE ABOUT THEIR LIFESTYLE AND MEDICAL HISTORY COLLECTED
MGP12183,PARTICPANTS AGED FROM 13 TO 70 YEARS OLD
PRJNA445932,SUBJECTS AGED FROM  3 AND 19 YEARS OLD
PRJNA504891,PARTICIPANTS OF ALL AGES
PRJEB9818,CHILDREN FROM 0 TO 3 YEARS OLD SUFFERING FROM SEVERE ACUTE MALNUTRITION
PRJNA217469,
PRJNA526732,ADOLESCENTS AGED FROM 11 TO 15 YEARS OLD
PRJNA520889,WOMEN AT 6–10 WEEKS POSTPARTUM OF WHICH SOME PRESENTED SYMPTOMS OF POSTTRAUMATIC STRESS DISORDER
PRJNA229922,CHILDREN AGED 12–59 MONTHS WHO HAD BEEN VACCINATED WITH 10-VALENT PNEUMOCOCCAL NON-TYPEABLE HAEMOPHILUS INFLUENZAE PROTEIN-D CONJUGATE VACCINE
PRJEB37312,INFANTS AGED IN AVERAGE 15 WEEKS WITH SOME TREATED WITH ANTIBIOTICS
PRJNA553183,WOMEN AGED IN AVERAGE 23 YEARS OLD
PRJNA207834,HIV-INFECTED PATIENTS AGED IN AVERAGE 32 YEARS OLD INCLUDING SOME TREATED WITH ANTIRETROVIRAL THERAPY
PRJNA450025,PARTICIPANTS AGED  BETWEEN 20 AND 46 YEARS OLD ANF SOMETIMES TREATED WITH STANDARD ANTIRETROVIRAL THERAPY
PRJNA473220,PARTICIPANTS AGED FROM 20 AND 79 YEARS OLD WITH  NO ANTIBIOTIC TREATMENT DURING THE LAST 3 MONTHS
PRJNA283404,"(UN)CIRCUMCISED HIV-NEGATIVE MEN, 15 TO 49 YEARS OF AGE AND  FEMALE PARTNERS"
PRJNA392180,PARTICIPANTS AGED MORE THAN 3 YEARS OLD
PRJNA510835,PATIENTS AGED FROM 2 AND 81 YEARS OLD AND TREATED WITH ALBENDAZOLE
PRJNA244107,CHILDREN AGED FROM 6 TO 10 YEARS OLD AND PREGNANT WOMEN EXPOSED TO POPULATIONS HIGH TOXIC METAL
PRJNA314988,PARTICPANTS AGED IN AVERAGE 14  YEARS OLD
PRJNA400332,PARTICIPANTS AGED BETWEEN 2 AND 70  YEARS OLD
PRJNA328966,ADULT MALES  AGING BETWEEN 21 AND 65
PRJEB3079,PARTICPANTS AGED FROM 0 AND 70 YEARS OLD
PRJEB2079,CHILDREN AGED FROM 1 TO 6 YEARS OLD NOT UNDER ANTIBIOTICS OR PROBIOTICS TREATMENT IN THE 6 MO BEFORE THE SAMPLING DATES
PRJEB32880,PARTICPANTS AGED FROM 25 TO 45 YEARS OLD
PRJNA392012,PARTICIPANTS AGED MORE THAN 3 YEARS OLD
PRJNA356146,PARTICIPANTS AGED FROM 15 TO 65 YEARS OLD
PRJNA491626,PEOPLE IN CONTACT WITH  BATS
MGP15238,PARTICIPANTS AGED IN AVERAGE  50 YEARS OLD
PRJEB27517,PARTICIPANTS OF ALL AGES
MGP16608,
PRJEB10006,CHILDREN AGED FROM 6 TO 24 MONTHS
PRJNA481999,PATIENTS AGED BETWEEN 2 AND 60 YEARS OLD
PRJNA253931,HEALTHY NON-SMOKIER AND HIV-NEGATIVE ADULTS AGED FROM 18 TO 50 YEARS OLD
PRJEB15633,MOTHER-INFANT PAIRS FOLLOWED SINCE THE DAY OF THE  DAY 1 TO 52 WEEKS POSTPARTUM
PRJNA356629,WOMEN AGED IN  AVERAGE 30 YEARS OLD
PRJNA483794,CHILDREN AGED IN AVERAGE 23 MOTHS
PRJNA234437,CHILDREN AGED BETWEEN 0 AND 4 YEARS OLD
MGP7563,PARTICPANTS AGED IN AVERAGE 14  YEARS OLD
PRJNA345054,CHILDREN AGED LESS THAN 5 YEARS OLD
PRJNA285808,PARTICIPANTS AGED FROM 0 TO 25 YEARS OLD  AND ASYMPTOMATICALLY INFECTED WITH PLASMODIUM FALCIPARUM
PRJNA527177,NEOLITHIC ‘MIDDLE IRON AGE-BANTU SPEAKING INDIVIDUAL
PRJNA305936,
PRJNA407815,PARTICIPANTS AGED 26 YEARS OLD IN AVERAGE
PRJEB24771,CHILDREN AGED BETWEEN 6 AND 23 MONTHS OLD
PRJEB9853,CHILDREN AGD FROM 16 AND 21 MONTHS
PRJNA285083,
PRJNA485056,PARTICIPANTS OF ALL AGES
PRJNA339223,WOMEN AGED IN  AVERAGE 30 YEARS OLD
PRJEB5989,CHILDREN AGED FROM 6 AND 21 MONTHS SUFFERING FROM MALNUTRITION
PRJNA248889,
